path,impact,node_id,field,copy_value,tasks_mini_value,peek
k-2-d-3/task_1.json,major,2,source,datagov/nopd-use-of-force-incidents/files/rows.txt,datagov/apd-searches-by-type/files/rows.txt,
k-2-d-3/task_1.json,major,2,subquestion,"In 2022, what is the highest number of incidents where an officer applies weapon across any NOPD divisions?","In 2022, which APD patrol sector had the most searches due to illegal items?",
k-2-d-3/task_1.json,major,2,answer,92,Edward,
k-2-d-3/task_1.json,major,2,fact,see diff,see diff,"@@ -3,9 +3,18 @@
+from botocore import UNSIGNED
+from botocore.config import Config
-source = ""datagov/nopd-use-of-force-incidents/files/rows.txt""
+source = ""datagov/apd-searches-by-type/files/rows.txt""
-obj = boto3.client(""s3"").get_object(Bucket=bucket, Key=source)
+obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-2-d-3/task_1.json,major,3,subquestion,"In 2022, how many APD call logs were labeled as mental health incidents in patrol sector <node_1 answer>?","In 2022, how many APD call logs were labeled as mental health incidents in patrol sector <node_2 answer>?",
k-2-d-3/task_1.json,major,3,fact,see diff,see diff,"@@ -1,5 +1,10 @@
+import boto3
+from botocore import UNSIGNED
+from botocore.config import Config
-node_1_answer = ""Edward""
+bucket = ""lakeqa-yc4103-datalake""
+obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-2-d-3/task_1.json,major,4,fact,see diff,see diff,"@@ -3,2 +3,4 @@
+from botocore import UNSIGNED
+from botocore.config import Config
@@ -6,3 +8,3 @@
-obj = boto3.client(""s3"").get_object(Bucket=bucket, Key=source)
+obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-1/task_1.json,major,2,subquestion,"In 2023 NYPD complaint data, within borough <node_1 answer>, how many complaints were filed for the most common offense description?","In 2023 NYPD complaint data, within borough <node_1 answer>, how many complaints were filed for the most common offense description (OFNS_DESC)?",
k-3-d-1/task_1.json,major,2,fact,see diff,see diff,"@@ -1,22 +1,15 @@
-import io
-import boto3
+from collections import Counter
-source = 'datagov/nypd-complaint-data-historic/files/rows.txt'
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"").get_object(Bucket=bucket, Key=source)"
k-3-d-1/task_1.json,major,3,fact,see diff,see diff,"@@ -1,23 +1,8 @@
-import io
-import boto3
-try:
-    from dotenv import load_dotenv
-    load_dotenv()
-except Exception:"
k-3-d-2/task_1.json,major,1,source,datagov/apd-searches-by-type/files/rows.txt,"wikipedia/Austin,_Texas/content.txt",
k-3-d-2/task_1.json,major,1,subquestion,"In 2023 APD searches-by-type data (excluding Sector = ""Unknown""), which sector has the most searches?","According to the Austin, Texas article, in what year was Austin founded?",
k-3-d-2/task_1.json,major,1,answer,Charlie,1839,
k-3-d-2/task_1.json,major,1,fact,see diff,see diff,"@@ -1,19 +1 @@
-import io
-import pandas as pd
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-"
k-3-d-2/task_1.json,major,2,source,datagov/apd-computer-aided-dispatch-incidents/files/rows.txt,datagov/apd-searches-by-type/files/rows.txt,
k-3-d-2/task_1.json,major,2,subquestion,"In 2023 APD computer-aided-dispatch incidents data, within sector <node_1 answer>, which council district has the most incidents?","In 2023 APD searches-by-type data (excluding Sector = ""Unknown""), which sector has the most searches?",
k-3-d-2/task_1.json,major,2,answer,1,Charlie,
k-3-d-2/task_1.json,major,2,fact,see diff,see diff,"@@ -6,25 +6,13 @@
-source = ""datagov/apd-computer-aided-dispatch-incidents/files/rows.txt""
+source = ""datagov/apd-searches-by-type/files/rows.txt""
-csv_path = io.BytesIO(obj[""Body""].read())
-
-node_1_answer = ""Charlie""
-"
k-3-d-2/task_1.json,major,3,source,"wikipedia/Austin,_Texas/content.txt",datagov/apd-computer-aided-dispatch-incidents/files/rows.txt,
k-3-d-2/task_1.json,major,3,subquestion,"According to the Austin, Texas article, in what year was Austin founded?","In 2023 APD computer-aided-dispatch incidents data, within sector <node_2 answer>, which council district has the most incidents?",
k-3-d-2/task_1.json,major,3,answer,1839,1,
k-3-d-2/task_1.json,major,3,fact,see diff,see diff,"@@ -1 +1,27 @@
-The Austin, Texas article states that Austin was founded in 1839.
+import pandas as pd
+import boto3
+from botocore import UNSIGNED
+from botocore.config import Config
+"
k-3-d-2/task_1.json,major,4,subquestion,"In 2023 APD use-of-force data, how many incidents with Used Taser(s) > 0 occurred in council district <node_2 answer>?","In 2023 APD use-of-force data, how many incidents with Used Taser(s) > 0 occurred in council district <node_3 answer>?",
k-3-d-2/task_1.json,major,4,fact,see diff,see diff,"@@ -9,5 +9,4 @@
-df = pd.read_csv(io.BytesIO(obj[""Body""].read()), sep="","", engine=""c"", low_memory=False)
-
-node_2_answer = ""1""
+df = pd.read_csv(io.BytesIO(obj[""Body""].read()), low_memory=False)
+node_3_answer = ""1""
@@ -15,3 +14,3 @@
-filtered = filtered[filtered[""Council District Numeric""].eq(pd.to_numeric(node_2_answer, errors=""coerce""))]"
k-3-d-2/task_10.json,moderate,2,fact,see diff,see diff,"@@ -2,20 +2,13 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/postsecondary-school-locations-current-5a74c/files/Postsecondary_School_Locations_Current_-3631565628879840217.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_10.json,moderate,3,fact,see diff,see diff,"@@ -2,22 +2,12 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/public-school-locations-current-23297/files/data-oyCYxF.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_10.json,moderate,4,fact,see diff,see diff,"@@ -2,22 +2,12 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/private-school-locations-current-f7d96/files/data-FGgJBu.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_11.json,moderate,1,fact,see diff,see diff,"@@ -1,17 +1,9 @@
-import io
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/fy-2019-disability-pension-recipient-by-county/files/rows.txt""
-bucket = ""lakeqa-yc4103-datalake"""
k-3-d-2/task_11.json,moderate,2,fact,see diff,see diff,"@@ -1,17 +1,9 @@
-import io
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/fy-2023-disability-compensation-recipients-by-county/files/rows.txt""
-bucket = ""lakeqa-yc4103-datalake"""
k-3-d-2/task_11.json,moderate,3,fact,see diff,see diff,"@@ -1 +1 @@
-Big Horn County's county seat is Basin.
+Big Horn County's county seat is Basin. The county was created in March 1890 and was named for the Big Horn Mountains which form its eastern boundary."
k-3-d-2/task_11.json,moderate,4,fact,see diff,see diff,"@@ -1 +1 @@
-Basin had the highest temperature ever recorded in Wyoming, 115°F (46.1°C), on August 8, 1983.
+Basin had the highest temperature ever recorded in Wyoming, 115°F (46.1°C), on August 8, 1983. Basin also holds the state record high temperatures for April (95°F in 1948) and July (114°F in 1900)."
k-3-d-2/task_12.json,moderate,1,fact,see diff,see diff,"@@ -1,17 +1,9 @@
-import io
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/fy-2019-disability-pension-recipient-by-county/files/rows.txt""
-bucket = ""lakeqa-yc4103-datalake"""
k-3-d-2/task_12.json,moderate,2,fact,see diff,see diff,"@@ -1,17 +1,9 @@
-import io
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/fy-2023-disability-compensation-recipients-by-county/files/rows.txt""
-bucket = ""lakeqa-yc4103-datalake"""
k-3-d-2/task_12.json,moderate,3,fact,see diff,see diff,"@@ -1 +1 @@
-Glacier County's county seat is Cut Bank, located in eastern Glacier County on the edge of the Great Plains.
+Glacier County's county seat is Cut Bank, located in eastern Glacier County on the edge of the Great Plains. The county includes the Blackfeet Indian Reservation and borders Canada."
k-3-d-2/task_12.json,moderate,4,fact,see diff,see diff,"@@ -1 +1 @@
-Cut Bank is home to the world's largest statue of a penguin.
+Cut Bank is home to the world's largest statue of a penguin. The statue features a penguin on an iceberg with the text 'Welcome to Cut Bank MT, Coldest Spot in the Nation', referencing Cut Bank's reputation for being frequently the coldest location in the lower 48 U.S. States."
k-3-d-2/task_2.json,moderate,2,fact,see diff,see diff,"@@ -10,6 +10,4 @@
-
-"
k-3-d-2/task_2.json,moderate,3,fact,see diff,see diff,"@@ -10,6 +10,4 @@
-
-"
k-3-d-2/task_2.json,moderate,4,fact,see diff,see diff,"@@ -10,6 +10,4 @@
-
-"
k-3-d-2/task_3.json,major,1,subquestion,"Which NYC high schools in District 10 were in the top 6 by overall score in 2006-07, and what were their additional-credit values?",Which NYC high schools in District 10 were in the top 6 by overall score in 2006-07?,
k-3-d-2/task_3.json,major,1,answer,"{""BRONX HIGH SCHOOL OF SCIENCE"": 1.0, ""BRONX SCHOOL OF LAW AND FINANCE"": 6.0, ""HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE"": 3.0, ""MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES"": 9.0, ""RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141)"": 12.0, ""UNIVERSITY HEIGHTS SECONDARY SCHOOL AT BRONX COMMU"": 12.0}","[""MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES"", ""HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE"", ""RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141)"", ""BRONX SCHOOL OF LAW AND FINANCE"", ""UNIVERSITY HEIGHTS SECONDARY SCHOOL AT BRONX COMMU""]",
k-3-d-2/task_3.json,major,1,fact,see diff,see diff,"@@ -1,21 +1,10 @@
-import io
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/2006-2007-school-progress-report/files/rows.txt""
-bucket = ""lakeqa-yc4103-datalake"""
k-3-d-2/task_3.json,major,2,subquestion,"Which NYC high schools in District 10 were in the top 6 by overall score in 2007-08, and what were their additional-credit values?",Which NYC high schools in District 10 were in the top 6 by overall score in 2007-08?,
k-3-d-2/task_3.json,major,2,answer,"{""BRONX HIGH SCHOOL FOR MEDICAL SCIENCE"": 8.0, ""BRONX HIGH SCHOOL OF SCIENCE"": 2.0, ""MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES"": 12.0, ""MARIE CURIE HIGH SCHOOL FOR NURSING, MEDICINE, AND ALLIED HEALTH PROFE"": 10.0, ""RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)"": 12.0, ""UNIVERSITY HEIGHTS SECONDARY SCHOOL AT BRONX COMMUNITY COLLE...","[""MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES"", ""MARIE CURIE HIGH SCHOOL FOR NURSING, MEDICINE, AND ALLIED HEALTH PROFE"", ""RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)"", ""BRONX HIGH SCHOOL FOR MEDICAL SCIENCE"", ""BRONX HIGH SCHOOL OF SCIENCE""]",
k-3-d-2/task_3.json,major,2,fact,see diff,see diff,"@@ -1,21 +1,10 @@
-import io
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/2007-2008-school-progress-report/files/rows.txt""
-bucket = ""lakeqa-yc4103-datalake"""
k-3-d-2/task_3.json,major,4,subquestion,Which University does <node_3 answer> received his Ph.D. from?,Which University does <node_4 answer> received his Ph.D. from?,
k-3-d-2/task_3.json,major,4,fact,see diff,see diff,"@@ -1 +1 @@
-in mathematics from Princeton University in 1954.
+He received a B.A. in mathematics from Harvard University in 1950 and a Ph.D. in mathematics from Princeton University in 1954."
k-3-d-2/task_4.json,moderate,2,fact,see diff,see diff,"@@ -2,18 +2,18 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/crime-incidents-in-2019/files/data.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_4.json,moderate,3,fact,see diff,see diff,"@@ -2,22 +2,11 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/crime-incidents-in-2020/files/data.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_4.json,moderate,4,fact,see diff,see diff,"@@ -2,22 +2,11 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/crime-incidents-in-2021/files/data.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_5.json,moderate,2,fact,see diff,see diff,"@@ -2,20 +2,13 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/postsecondary-school-locations-current-5a74c/files/Postsecondary_School_Locations_Current_-3631565628879840217.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_5.json,moderate,3,fact,see diff,see diff,"@@ -2,22 +2,12 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/public-school-locations-current-23297/files/data-oyCYxF.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_5.json,moderate,4,fact,see diff,see diff,"@@ -2,22 +2,12 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/school-district-office-locations-current-c8f9d/files/data-ghDEVP.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_6.json,moderate,2,fact,see diff,see diff,"@@ -2,20 +2,13 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/postsecondary-school-locations-current-5a74c/files/Postsecondary_School_Locations_Current_-3631565628879840217.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_6.json,moderate,3,fact,see diff,see diff,"@@ -2,22 +2,12 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/school-district-office-locations-current-c8f9d/files/data-ghDEVP.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_6.json,moderate,4,fact,see diff,see diff,"@@ -2,22 +2,12 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/private-school-locations-current-f7d96/files/data-FGgJBu.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_7.json,moderate,2,fact,see diff,see diff,"@@ -2,20 +2,13 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/school-district-office-locations-current-c8f9d/files/data-ghDEVP.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_7.json,moderate,3,fact,see diff,see diff,"@@ -2,22 +2,12 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/private-school-locations-current-f7d96/files/data-FGgJBu.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_7.json,moderate,4,fact,see diff,see diff,"@@ -2,22 +2,12 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/postsecondary-school-locations-current-5a74c/files/Postsecondary_School_Locations_Current_-3631565628879840217.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_8.json,moderate,2,fact,see diff,see diff,"@@ -2,20 +2,13 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/postsecondary-school-locations-current-5a74c/files/Postsecondary_School_Locations_Current_-3631565628879840217.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_8.json,moderate,3,fact,see diff,see diff,"@@ -2,22 +2,12 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/private-school-locations-current-f7d96/files/data-FGgJBu.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_8.json,moderate,4,fact,see diff,see diff,"@@ -2,22 +2,12 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/school-district-office-locations-current-c8f9d/files/data-ghDEVP.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_9.json,moderate,2,fact,see diff,see diff,"@@ -2,20 +2,13 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/private-school-locations-current-f7d96/files/data-FGgJBu.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_9.json,moderate,3,fact,see diff,see diff,"@@ -2,22 +2,12 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/public-school-locations-current-23297/files/data-oyCYxF.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-2/task_9.json,moderate,4,fact,see diff,see diff,"@@ -2,22 +2,12 @@
-import boto3
-from botocore import UNSIGNED
-from botocore.config import Config
-source = ""datagov/postsecondary-school-locations-current-5a74c/files/Postsecondary_School_Locations_Current_-3631565628879840217.txt""
-bucket = ""lakeqa-yc4103-datalake""
-obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
k-3-d-3/task_1.json,major,1,subquestion,Which high schools were in the top 7 by overall score in 2006-07?,Which high schools ranked in the top 7 based on the comprehensive ranking in 2006-07?,
k-3-d-3/task_1.json,major,1,fact,see diff,see diff,"@@ -1,36 +1,26 @@
-import os
-import io
-import pandas as pd
-import boto3
+import csv
-source = ""datagov/2006-2007-school-progress-report/files/rows.txt"""
k-3-d-3/task_1.json,major,2,subquestion,Which high schools were in the top 7 by overall score in 2009-10?,Which high schools ranked in the top 7 based on the comprehensive ranking in 2009-10?,
k-3-d-3/task_1.json,major,2,fact,see diff,see diff,"@@ -1,36 +1,26 @@
-import os
-import io
-import pandas as pd
-import boto3
+import csv
-source = ""datagov/2009-2010-school-progress-report/files/rows.txt"""
k-3-d-3/task_1.json,major,3,subquestion,Which high schools were in the top 7 by overall score in 2010-11?,Which high schools ranked in the top 7 based on the comprehensive ranking in 2010-11?,
k-3-d-3/task_1.json,major,3,fact,see diff,see diff,"@@ -1,33 +1,26 @@
-import os
-import io
-import pandas as pd
-import boto3
+import csv
-source = ""datagov/2010-2011-school-progress-report/files/rows.txt"""
k-3-d-3/task_1.json,major,4,subquestion,Who built the earliest constructed bridge that connects <hop 1 answer> with the mainland?,"Who built the earliest constructed bridge that connects the neighborhood named after <intersection of node_1, node_2, node_3> with the mainland?",
k-3-d-3/task_1.json,major,5,subquestion,In which village is <hop 2 answer> buried?,In which village is <node_4 answer> buried?,
k-3-d-3/task_2.json,major,1,subquestion,Which branches were in the top 5 by YTD visitors in the given year?,"In 2019, which Chicago library branches were in the top 5 by total visitors?",
k-3-d-3/task_2.json,major,1,fact,see diff,see diff,"@@ -1,19 +1,21 @@
-import os
-import io
-import pandas as pd
-import boto3
+import csv
+from collections import defaultdict"
k-3-d-3/task_2.json,major,2,subquestion,Which branches were in the top 5 by YTD visitors in the given year?,"In 2020, which Chicago library branches were in the top 5 by total visitors?",
k-3-d-3/task_2.json,major,2,fact,see diff,see diff,"@@ -1,19 +1,21 @@
-import os
-import io
-import pandas as pd
-import boto3
+import csv
+from collections import defaultdict"
k-3-d-3/task_2.json,major,3,subquestion,Which branches were in the top 5 by YTD visitors in the given year?,"In 2021, which Chicago library branches were in the top 5 by total visitors?",
k-3-d-3/task_2.json,major,3,fact,see diff,see diff,"@@ -1,19 +1,21 @@
-import os
-import io
-import pandas as pd
-import boto3
+import csv
+from collections import defaultdict"
k-3-d-3/task_2.json,major,4,subquestion,Which branches were in the top 3 by YTD computer sessions in the given year?,"In 2019, which Chicago library branches were in the top 3 by total reserved public-computer time slots (each at most 60 minutes)?",
k-3-d-3/task_2.json,major,4,fact,see diff,see diff,"@@ -1,23 +1,21 @@
-import os
-import io
-import pandas as pd
-import boto3
+import csv
+from collections import defaultdict"
k-3-d-3/task_2.json,major,5,subquestion,Which branches were in the top 3 by YTD computer sessions in the given year?,"In 2020, which Chicago library branches were in the top 3 by total reserved public-computer time slots (each at most 60 minutes)?",
k-3-d-3/task_2.json,major,5,fact,see diff,see diff,"@@ -1,23 +1,21 @@
-import os
-import io
-import pandas as pd
-import boto3
+import csv
+from collections import defaultdict"
k-3-d-3/task_2.json,major,6,subquestion,Which branches were in the top 3 by YTD computer sessions in the given year?,"In 2021, which Chicago library branches were in the top 3 by total reserved public-computer time slots (each at most 60 minutes)?",
k-3-d-3/task_2.json,major,6,fact,see diff,see diff,"@@ -1,23 +1,21 @@
-import os
-import io
-import pandas as pd
-import boto3
+import csv
+from collections import defaultdict"
k-3-d-3/task_2.json,major,7,subquestion,Which Chicago neighborhood is the library branch (from hop 2) located in? (Lookup: Conrad Sulzer Regional Library article.).,Which neighborhood is Conrad Sulzer Regional Library located in?,
k-3-d-3/task_2.json,major,7,fact,see diff,see diff,"@@ -1 +1 @@
-According to the Wikipedia article for Conrad Sulzer Regional Library, the library is located in the Lincoln Square neighborhood at 4455 N.
+According to the Wikipedia article for Conrad Sulzer Regional Library, the library is located in the Lincoln Square neighborhood at 4455 N. Lincoln Avenue."
k-3-d-3/task_3.json,major,1,depends_on,,[],
k-3-d-3/task_3.json,major,1,fact,see diff,see diff,"@@ -1,38 +1,20 @@
-import os
-import io
-import pandas as pd
-import boto3
+import csv
-source = ""datagov/2010-2011-school-progress-report/files/rows.txt"""
k-3-d-3/task_3.json,major,2,depends_on,,[],
k-3-d-3/task_3.json,major,2,fact,see diff,see diff,"@@ -1,38 +1,20 @@
-import os
-import io
-import pandas as pd
-import boto3
+import csv
-source = ""datagov/2011-2012-school-progress-report-all-schools/files/rows.txt"""
k-3-d-3/task_3.json,major,3,depends_on,,[],
