path,status,fields_changed,summary,question_change,answer_change,same_task_elsewhere
k-3-d-2/task_2.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 3 (2, 3, 4); identical node ids: 1",,,
k-3-d-2/task_3.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 3 (1, 2, 4); identical node ids: 1","question changed: copy=""Can you find the NYC high school in district 10 that are in top 6 by high school's overall score from school …"" | tasks_mini=""Can you find the NYC high school in district 10 that are in top 6 by high school's overall score from school …""",,
k-3-d-2/task_4.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 3 (2, 3, 4); identical node ids: 1",,,
k-3-d-2/task_5.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 3 (2, 3, 4); identical node ids: 1",,,
k-3-d-2/task_6.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 3 (2, 3, 4); identical node ids: 1",,,
k-3-d-2/task_7.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 3 (2, 3, 4); identical node ids: 1",,,
k-3-d-2/task_8.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 3 (2, 3, 4); identical node ids: 1",,,
k-3-d-2/task_9.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 3 (2, 3, 4); identical node ids: 1",,,
k-3-d-3/task_1.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 5 (1, 2, 3, 4, 5)","question changed: copy=""For the NYC high school that ranked in the top 7 by overall score in all three school years: 2006-07 and 2009…"" | tasks_mini=""For the NYC high school that ranked in the top 7 based on the comprehensive ranking in 2006-07 and 2009-11, f…""",,
k-3-d-3/task_2.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 7 (1, 2, 3, 4, 5, 6, 7)","question changed: copy=""Among the Chicago library branches Sulzer Regional Library, Edgewater, and Lincoln Belmont, which branch rank…"" | tasks_mini=""Among Sulzer Regional Library, Edgewater, and Lincoln Belmont, which branch stayed in the top 5 for total vis…""",,
k-3-d-3/task_3.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 6 (1, 2, 3, 4, 5, 6)",,,
k-3-d-3/task_4.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 9 (1, 2, 3, 4, 5, 6, 7, 8...)",,,
k-3-d-3/task_5.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 7 (1, 2, 3, 4, 5, 6, 7)",,,
k-3-d-3/task_6.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 7 (1, 2, 3, 4, 5, 6, 7)",,,
k-3-d-4/task_1.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; node count 8 -> 7; node ids only copy: 8; changed node ids: 7 (1, 2, 3, 4, 5, 6, 7)","question changed: copy=""I'm analyzing the DC Ward that had the lowest average crime count from 2018 to 2021. Find the neighborhoods i…"" | tasks_mini=""I'm analyzing the DC Ward that had the lowest average crime count from 2018 to 2021. Find the county in Maryl…""",,
k-3-d-4/task_10.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 3 (1, 2, 3); identical node ids: 3",,,
k-3-d-4/task_2.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 8 (1, 2, 3, 4, 5, 6, 7, 8)",,,
k-3-d-4/task_3.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 7 (1, 2, 3, 4, 5, 7, 8); identical node ids: 1",,,
k-3-d-4/task_4.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 8 (1, 2, 3, 4, 5, 6, 7, 8)",,,
k-3-d-4/task_5.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; node count 14 -> 7; node ids only copy: 10, 11, 12, 13, 14, 8, 9; changed node ids: 6 (1, 2, 3, 4, 6, 7); identical node ids: 1","question changed: copy=""Can you tell me which senior high school had a consistently top 3 number of violent/disruptive incident repor…"" | tasks_mini=""Can you tell me which high school had a consistently top 3 number of violent/disruptive incident reported bet…""",,
k-3-d-4/task_6.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 8 (1, 2, 3, 4, 5, 6, 7, 8)",,,
k-3-d-4/task_7.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; node count 11 -> 8; node ids only copy: 10, 11, 9; changed node ids: 8 (1, 2, 3, 4, 5, 6, 7, 8)","question changed: copy=""Can you find the Manhattan neighborhood where the only NYC elementary school in District 3 that ranked in the…"" | tasks_mini=""Can you find the Manhattan neighborhood where the only NYC elementary school in District 3 that ranked in the…""",,
k-3-d-4/task_8.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 4 (1, 2, 3, 4); identical node ids: 2",,,
k-3-d-4/task_9.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 2 (4, 5); identical node ids: 4",,,
k-3-d-5/task_1.json,changed,"answer,datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: answer, datasets_used, nodes, question, reasoning_hops; node count 8 -> 7; node ids only copy: 8; changed node ids: 7 (1, 2, 3, 4, 5, 6, 7)","question changed: copy=""Find the NYC high schools that were in the top 8 by overall score every year from 2006-07 through 2010-11. De…"" | tasks_mini=""Can you first find the neighborhood after which the only NYC high school that was in the top 8 by overall sco…""",answer changed: copy='1693' | tasks_mini='Friesland',
k-4-d-1/task_1.json,changed,"datasets_used,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, reasoning_hops; identical node ids: 4",,,
k-4-d-1/task_2.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 1 (2); identical node ids: 3",,,
k-4-d-1/task_3.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 2 (3, 4); identical node ids: 2",,,
k-4-d-1/task_4.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; node count 3 -> 4; node ids only tasks_mini: 4; changed node ids: 3 (1, 2, 3)","question changed: copy=""Using the 2010 USGS survey of Assateague Island National Seashore, identify the NASA facility where the surve…"" | tasks_mini=""Can you first idenity the system that was used to survey Assateague Island National Seashore in the 2010 USGS…""",,
k-4-d-1/task_5.json,changed,datasets_used,only tasks_mini keys: reasoning_chain; changed keys: datasets_used; identical node ids: 4,,,
k-4-d-1/task_6.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 4 (1, 2, 3, 4)","question changed: copy=""In Pittsburgh, identify the airport that most directly serves it for commercial passenger travel; in its Marc…"" | tasks_mini=""In Pittsburgh, identify the largest airport; in its March 2019 scheduled traffic report, find the destination…""",,
k-4-d-2/task_1.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 3 (3, 4, 5); identical node ids: 2",,,
k-4-d-2/task_10.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 6 (1, 2, 3, 4, 5, 6)",,,
k-4-d-2/task_11.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 6 (1, 2, 3, 4, 5, 6)","question changed: copy=""In 2015, which New York county named after a king had a population over 900,000, a firearm rate under 35 per …"" | tasks_mini=""In 2015, which New York county named after a king had a population over 900,000, a firearm rate under 35 per …""",,
k-4-d-2/task_12.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 2 (2, 3); identical node ids: 4","question changed: copy=""Among New York counties with violent crime rates over 300 per 100,000 in 2020 and more than 100 youth sent to…"" | tasks_mini=""Among New York counties with violent crime rates over 300 per 100,000 in 2020 and more than 100 secure juveni…""",,
k-4-d-2/task_13.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 3 (3, 4, 5); identical node ids: 2",,,
k-4-d-2/task_14.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 6 (1, 2, 3, 4, 5, 6)","question changed: copy=""Start by finding the Chicago city department with a budget of $400 million to $700 million in 2018 and $600 m…"" | tasks_mini=""Start by finding the Chicago city department with a budget of $400 million to $700 million in 2018 and $600 m…""",,
k-4-d-2/task_15.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 5 (1, 2, 3, 4, 5)","question changed: copy=""Consider the counties King, Clark, Pierce, Whitman, Thurston, and Spokane. Among these, identify the Eastern …"" | tasks_mini=""Consider the counties King, Clark, Pierce, Whitman, Thurston, and Spokane. Among these, identify the Eastern …""",,
k-4-d-2/task_2.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 4 (1, 3, 4, 5); identical node ids: 1","question changed: copy=""I'm analyzing identity theft trends in Los Angeles. First, identify the year between 2010 and 2019 that had t…"" | tasks_mini=""I'm analyzing identity theft trends in Los Angeles. First, identify the year between 2010 and 2019 that had t…""",,
k-4-d-2/task_3.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 6 (1, 2, 3, 4, 5, 6)","question changed: copy=""Identify the first civilian superintendent of the Chicago Police Department. In the city where that person pr…"" | tasks_mini=""Identify the first civilian superintendent of the Chicago Police Department. In the city where that person pr…""",,
k-4-d-2/task_4.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 4 (1, 2, 4, 5); identical node ids: 1","question changed: copy=""I'm analyzing data for the Austin City Council district represented by Zohaib Qadri. Starting from the year w…"" | tasks_mini=""I’m analyzing data for the Austin City Council district represented by Zohaib 'Zo' Qadri. Starting from the y…""",,
k-4-d-2/task_5.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 3 (2, 3, 5); identical node ids: 2","question changed: copy=""I am analyzing the LAPD division that covers Echo Park and Silver Lake. After identifying the most common arr…"" | tasks_mini=""I am analyzing the LAPD division that covers Echo Park and Silver Lake. After identifying the most common arr…""",,
k-4-d-2/task_6.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 5 (1, 2, 3, 4, 5)","question changed: copy=""I'm analyzing simple battery assault trends in Los Angeles. First, identify the year between 2010 and 2019 th…"" | tasks_mini=""I'm analyzing simple battery assault trends in Los Angeles. First, identify the year between 2010 and 2019 th…""",,
k-4-d-2/task_7.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 3 (3, 4, 5); identical node ids: 2",,,
k-4-d-2/task_8.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 4 (1, 3, 4, 5); identical node ids: 1",,,
k-4-d-2/task_9.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 4 (1, 3, 4, 5); identical node ids: 1",,,
k-4-d-3/task_1.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 6 (1, 2, 3, 4, 5, 6)","question changed: copy=""Can you find me the NYC elementary school in District 15 that ranked 2nd by average performance category scor…"" | tasks_mini=""Can you find me the NYC elementary school in District 15 that ranked in the top 2 by performance category sco…""",,
k-4-d-3/task_10.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 8 (1, 2, 3, 4, 5, 6, 7, 8)","question changed: copy=""Find the New York counties outside of NYC having (1) over 90 youth sent to jail in 2015, (2) a total jail cen…"" | tasks_mini=""Only two New York counties outside of NYC had over 90 youth detention admissions in 2015, a jail census under…""",,
k-4-d-3/task_11.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 8 (1, 2, 3, 4, 5, 6, 7, 8)","question changed: copy=""Find the Iowa counties that met the following criteria in 2019: a December unemployment rate above 2.9%, more…"" | tasks_mini=""Find the Iowa counties met the following criteria in 2019: unemployment above 2.9%, biofuel distribution abov…""",,
k-4-d-3/task_12.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 6 (1, 2, 3, 4, 5, 6)",,,
k-4-d-3/task_2.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 7 (2, 3, 4, 5, 6, 7, 8); identical node ids: 1",,,
k-4-d-3/task_3.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 2 (1, 5); identical node ids: 4","question changed: copy=""In which Virginia county is the NASA facility where the equipment used to collect the bare earth elevation da…"" | tasks_mini=""In which Virginia county is the NASA facility of a system developed? This system was used in the 2007 USGS to…""",,
k-4-d-3/task_4.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 8 (1, 2, 3, 4, 5, 6, 7, 8)","question changed: copy=""Across January 2019-2021, identify the agencies that consistently issued the largest total amount of parking …"" | tasks_mini=""Across January 2019-2021, identify the issuing agencies that consistently ranked in the top 20 by total parki…""",,
k-4-d-3/task_5.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 6 (1, 2, 3, 4, 5, 6)","question changed: copy=""Among the United States Park Police, United States Capitol Police, and U.S. Secret Service Uniform Division, …"" | tasks_mini=""Among the United States Park Police, United States Capitol Police, and U.S. Secret Service Uniform Division, …""",,
k-4-d-3/task_6.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 10 (1, 10, 2, 3, 4, 5, 6, 7...)","question changed: copy=""Identify the Chicago city department that consistently ranked in the top five by total funding in the officia…"" | tasks_mini=""Identify the Chicago city department that consistently ranked in the top five for ordinance appropriations (w…""",,
k-4-d-3/task_7.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 6 (1, 2, 3, 4, 5, 6)","question changed: copy=""Among Washington, DC wards 2 and 5, identify which ward had more scheduled street-cleaning events from 2022 t…"" | tasks_mini=""Among Washington, DC wards 2 and 5, identify which ward had the more frequent street sweeping schedule from 2…""",,
k-4-d-3/task_8.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 5 (1, 2, 3, 4, 7); identical node ids: 2","question changed: copy=""Can you find out the Manhattan neighborhoods containing the top 7 high schools from 2007-2010 by a comprehens…"" | tasks_mini=""Can you find out the Manhattan neighborhood containing a top 7 high school from 2007-2010 by overall score. T…""",,
k-4-d-3/task_9.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 8 (1, 2, 3, 4, 5, 6, 7, 8)","question changed: copy=""I am analyzing a specific New York State county that had between 29,000 and 75,000 households enrolled in the…"" | tasks_mini=""I am analyzing a specific New York State county which supports a significant population, reporting between 29…""",,
k-4-d-4/task_1.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; node count 6 -> 7; node ids only tasks_mini: 7; changed node ids: 6 (1, 2, 3, 4, 5, 6)","question changed: copy=""Can you find the NYC elementary schools that appear in the top 5 by the schools' learning environment in at l…"" | tasks_mini=""Can you find the NYC elementary school that appears in the top 5 by environment category rating in at least t…""",,
k-4-d-4/task_10.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 9 (1, 2, 3, 4, 5, 6, 7, 8...)","question changed: copy=""Using school district office records for Iowa City in Johnson County, determine the two-digit state FIPS code…"" | tasks_mini=""Using the school district office listings for CITY='Iowa City' and NMCNTY='Johnson County', determine the two…""",,
k-4-d-4/task_11.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 9 (1, 2, 3, 4, 5, 6, 7, 8...)","question changed: copy=""Using school district office records for Princeton in Mercer County, determine the two-digit state FIPS code.…"" | tasks_mini=""Using the school district office listings for CITY='Princeton' and NMCNTY='Mercer County', determine the two-…""",,
k-4-d-4/task_12.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; node count 9 -> 10; node ids only tasks_mini: 10; changed node ids: 6 (1, 5, 6, 7, 8, 9); identical node ids: 3",,,
k-4-d-4/task_13.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 3 (5, 7, 8); identical node ids: 5","question changed: copy=""Among Providence hospital properties, only one met the following criteria: it had an assessed value consisten…"" | tasks_mini=""Among Providence hospital properties, only one met the following criteria: it had an assessed value consisten…""",,
k-4-d-4/task_14.json,only in tasks_mini copy,,"present only in tasks_mini copy; question=""Across years 2015-16 to 2018-19, which Texas county is consistently in the top five for total lunch serves in Seamless Summer Opt…"" answer='Brownsville'",,,
k-4-d-4/task_2.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 8 (1, 2, 3, 4, 5, 6, 7, 8)","question changed: copy=""In Chicago elementary schools that are public school, find which school (1) received the top performance rati…"" | tasks_mini=""In Chicago elementary schools that are public school, find which school (1) received the top performance rati…""",,
k-4-d-4/task_3.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; node count 10 -> 9; node ids only copy: 10; changed node ids: 6 (1, 2, 3, 4, 5, 9); identical node ids: 3",,,
k-4-d-4/task_4.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 8 (1, 2, 3, 4, 5, 6, 7, 8)","question changed: copy=""Can you first find the terminus cities of Route 66. Among those cities, which one had higher binge drinking p…"" | tasks_mini=""Can you first find the terminus cities of Route 66, among the citites, which one had higher binge drinking pr…""",,
k-4-d-4/task_5.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 8 (1, 2, 3, 4, 5, 6, 7, 8)","question changed: copy=""Find the Missouri state agency that ranked third in average spending from 2007 to 2010. In which city is its …"" | tasks_mini=""Find the Missouri state agency that ranked third in average spending from 2007-10, for that agency, which cit…""",,
k-4-d-4/task_6.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 9 (1, 2, 3, 4, 5, 6, 7, 8...)",,,
k-4-d-4/task_7.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 8 (1, 2, 3, 4, 5, 6, 7, 8)",,,
k-4-d-4/task_8.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 10 (1, 10, 2, 3, 4, 5, 6, 7...)","question changed: copy=""Consider the engineering firm founded after 1914 that has no current NY State construction manager projects, …"" | tasks_mini=""Consider the only engineering firm founded after 1914 that has no current NY State construction manager proje…""",,
k-4-d-4/task_9.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 9 (1, 2, 3, 4, 5, 6, 7, 8...)",,,
k-4-d-5/task_1.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 9 (1, 2, 3, 4, 5, 6, 7, 8...)","question changed: copy=""I'm researching upstate New York counties (excluding New York City and the Adirondack/Catskill preserves) tha…"" | tasks_mini=""I'm researching upstate New York counties (excluding New York City and the Adirondack/Catskill preserves) tha…""",,
k-4-d-5/task_2.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 9 (1, 2, 3, 4, 5, 6, 7, 8...)","question changed: copy=""Among NYC municipal candidates who had total campaign spending between $103,000 and $251,000 in each of the f…"" | tasks_mini=""Among NYC municipal candidates who filed campaign expenditures in all five election cycles (2001, 2003, 2005,…""",,
k-4-d-5/task_3.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 10 (1, 10, 2, 3, 4, 5, 6, 7...)","question changed: copy=""Among drugs with 5 to 10 million total annual Medicaid prescriptions across U.S. states, identify the one wit…"" | tasks_mini=""Among drugs with 5 to 10 million total annual prescriptions in the US, identify the one with the highest aver…""",,
k-4-d-5/task_4.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain, verdict; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 10 (1, 10, 2, 3, 4, 5, 6, 7...)","question changed: copy=""I am looking for Texas counties that consistently ranked in the top five for child care center sites particip…"" | tasks_mini=""I am looking for a major Texas county that consistently ranked in the top five for childcare centers particip…""",,
