benchmark,model_variant,mode_label,mode,trajectory_alignment,n,fraction_all,pct_all,fraction_comparable,pct_comparable
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,28,28/135,20.7,28/134,20.9
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,did_not_follow,5,5/135,3.7,5/135,3.7
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,followed,38,38/135,28.1,38/135,28.1
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,25,25/135,18.5,25/135,18.5
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,39,39/135,28.9,39/135,28.9
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,28,28/135,20.7,28/135,20.7
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,7,7/135,5.2,7/135,5.2
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,followed,28,28/135,20.7,28/135,20.7
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,26,26/135,19.3,26/135,19.3
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,38,38/135,28.1,38/135,28.1
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,36,36/135,26.7,36/135,26.7
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,17,17/135,12.6,17/135,12.6
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,followed,15,15/135,11.1,15/135,11.1
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,72,72/135,53.3,72/135,53.3
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,17,17/135,12.6,17/135,12.6
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,14,14/135,10.4,14/135,10.4
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,did_not_follow,16,16/135,11.9,16/135,11.9
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,followed,11,11/135,8.1,11/135,8.1
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,64,64/135,47.4,64/135,47.4
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,23,23/135,17.0,23/135,17.0
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,21,21/135,15.6,21/135,15.6
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,26,26/135,19.3,26/135,19.3
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,followed,7,7/135,5.2,7/135,5.2
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,68,68/135,50.4,68/135,50.4
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,18,18/135,13.3,18/135,13.3
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,16,16/135,11.9,16/135,11.9
