model_variant,mode_variant,source_file,answer_failure_figure_group,task_id,event_index,answer_failure_type,answer_failure_subtype,failure_stage,failure_summary,failure_evidence,confidence,eval_path,events_path,row_validation_status,row_model_validation_status
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-4-d-4/task_10.json,1,wrong_scope_or_filter,current_dataset_version,task_understanding,"For the later subtasks, the run pulled counts from current dataset versions instead of the task-plan datasets, and the logged values used in the final calculation were 133 public schools, 22 private schools, 12 district offices, and 10 postsecondary institutions.","Turn 7 | query_ideal on public-school-locations-current-23297; tool result rows show Polk County 133, Linn County 81, Scott County 52.; Turn 16 | query_ideal on private-school-locations-current-f7d96; tool result rows show Polk County 22, Dubuque County 12, Linn County 12.; Turn 17 | query_ideal on school-district-office-locations-current-d848f; tool result rows show Polk County 12, Linn County 11, Pottawattamie County 8.; Turn 21 | query_ideal on postsecondary-school-locations-current-5a74c; tool result rows show Polk County 10, Scott County 7, Dubuque County 7, Linn County 6.",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-4-d-4/task_11.json,1,wrong_scope_or_filter,dataset_drift,source_selection,The run first probed an unrelated 2020-21 school-district-office dataset before shifting to the intended current datasets.,Turn 1 touched school-district-office-locations-2020-21-d8df0; turn 13 later touched public-school-locations-current-23297.,medium,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid_with_warnings,repaired_pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-5-d-3/task_10.json,1,wrong_scope_or_filter,dc street-sweeping lookup drifted to Chicago dataset,source_selection,"The street-sweeping step never stabilized on a verified DC dataset; the agent kept searching, got nudged for repeated search calls, and then hit the tool limit.","Turn 21 | search_value({""query"": ""Washington DC street sweeping schedule ward 2023 2024 schedule 'street sweeping' 'ward' 'DC' dataset 2024 'street sweeping schedule' DC 'parking' 'street cleaning'""}) -> Tool result included dataset_id ""street-sweeping-schedule-2023"" with llm_desc: ""This dataset provides the street sweeping schedule for the City of Chicago in 2023...""; Turn 27 | [Stagnation] Nudging agent: 'search' called 7 times (intervention #1); Turn 32 | Tool call cancelled. Tool limit reached (30/30 calls used). You must stop using other tools and immediately call submit_answer with your best current answer and reasoning.",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-3-d-4/task_1.json,1,wrong_scope_or_filter,maryland-only income dataset instead of U.S.-wide county ranking source,source_selection,"The run used Chevy Chase as the county bridge to Montgomery County, then searched a Maryland-only income dataset and was forced to submit after the tool limit was reached, so the claimed 6th-place rank was not visibly verified in the log.","Turn 21 | DEBUG | strands_evaluation.instrumentation.agent_plugins | Tool result: {""results"": [{""dataset_id"": ""Chevy_Chase,_Maryland"", ""s3_uri"": ""s3://lakeqa-yc4103-datalake/wikipedia/Chevy_Chase,_Maryland/content.txt"", ""llm_desc"": ""Text content from a Wikipedia entry describing Chevy Chase, Maryland, a residential area in southern Montgomery County and an adjoining neighborhood in Washington, D.C.""}; Turn 25 | DEBUG | strands_evaluation.instrumentation.agent_plugins | Tool result: {""results"": [{""dataset_id"": ""maryland-median-household-income-by-year-with-margin-of-error-2010-2018"", ""s3_uri"": ""s3://lakeqa-yc4103-datalake/datagov/maryland-median-household-income-by-year-with-margin-of-error-2010-2018/files/rows.txt"", ""llm_desc"": ""Tabular dataset of Maryland median household income by year and county, including margins of error (MOE), covering 2010–2018.""}; Turn 32 | DEBUG | strands_evaluation.instrumentation.agent_plugins | Tool result: Tool call cancelled. Tool limit reached (30/30 calls used). You must stop using other tools and immediately call submit_answer with your best current answer and reasoning.; Turn 33 | DEBUG | strands_evaluation.instrumentation.agent_plugins | Model response #33 [stop_reason=tool_use] [role=assistant block=1 tool_use] submit_answer({""answer"": ""[6]"", ""reasoning"": ""Computed ward-level crime averages from DC incident datasets (2018–2021) and found Ward 3 had the lowest average. Ward 3 neighborhoods include Chevy Chase; Chevy Chase, MD is in Montgomery County. Using 2020 county income rankings (ACS 5-year estimates), Montgomery County, MD ranks 6th in the U.S. for average/median household income in 2020.""})",medium,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-2-d-3/task_1.json,1,wrong_scope_or_filter,non_equivalent_query_shape,task_understanding,"The NOPD branch was computed with a non-equivalent query shape and produced 27 as the top division count in the log, while the authored node 1 answer is 92.","Turn 4 | Model response #4 [role=assistant block=1 tool_use] query_ideal({""dataset_id"": ""nopd-use-of-force-incidents"", ""file_path"": ""files/rows.txt"", ""sql"": ""SELECT \""Division\"", COUNT(*) AS cnt\nFROM t\nWHERE strftime('%Y', \""Date Occurred\"") = '2022'\n AND (\""Use of Force Type\"" LIKE '%Firearm%' OR \""Use of Force Type\"" LIKE '%Rifle%' OR \""Use of Force Type\"" LIKE '%CEW%' OR \""Use of Force Type\"" LIKE '%Baton%' OR \""Use of Force Type\"" LIKE '%Canine%' OR \""Use of Force Type\"" LIKE '%Taser%')\nGROUP BY \""Division\""\nORDER BY cnt DESC\nLIMIT 10;""}) ... Tool result: {""dataset_id"": ""nopd-use-of-force-incidents"", ""columns"": [""Division"", ""cnt""], ""rows"": [[""Second Watch"", 27], [""Night Watch"", 23], [""Day Watch"", 18], [""A Platoon"", 15], [""8th District"", 13]]}",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-4-d-4/task_1.json,1,wrong_scope_or_filter,off_plan_2018_2019_locations_file,task_understanding,The run searched the 2018-2019 locations file for school-day fields instead of staying on the task’s intended source path.,Turn 18 | query_ideal searches the 2018-2019 school-locations file for NTA and school-day fields.,medium,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-4-d-2/task_4.json,2,wrong_scope_or_filter,public-school dataset family mismatch,task_understanding,The school-count step proceeded on a different public-school dataset family than the task specified.,Turn 31 | parse_xml_records(... public-school-locations-2018-19-42360 ...),high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-4-d-1/task_2.json,2,wrong_scope_or_filter,searched_wrong_charge_term,computation,"The run then searched the 2020-present crime data for `CORPORAL`, which returned zero matches.",Turn 17 | grep_file on `crime-data-from-2020-to-present` with regex `CORPORAL`; tool result reported `match_count: 0`.,medium,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,repaired_pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-5-d-3/task_13.json,1,wrong_scope_or_filter,state_level_counts_instead_of_county_level_intersection,task_understanding,Two later-stage computations in the visible trace were redirected to state-level STFIP counts rather than the county-level district-office/postsecondary intersection required by the task.,"Turn 17 | query_ideal({""dataset_id"": ""school-district-office-locations-current-d848f"", ""file_path"": ""files/nces::school-district-office-locations-current-1.txt"", ""sql"": ""SELECT \""STFIP\"", COUNT(*) as offices FROM t GROUP BY \""STFIP\"" ORDER BY offices DESC LIMIT 10;"", ""intent"": ""repeat district offices count per state FIPS to compare with private/public counts""}) -> rows [[""06"", 2147], [""48"", 1240], [""36"", 1112] ...]; Turn 28 | query_ideal({""dataset_id"": ""postsecondary-school-locations-2019-20-64b31"", ""file_path"": ""files/data-cbxYz6.txt"", ""sql"": ""SELECT \""features\""->'properties'->>\""STFIP\"" as STFIP, COUNT(*) as postsecondary_institutions FROM t GROUP BY STFIP ORDER BY postsecondary_institutions DESC LIMIT 15;"", ""intent"": ""Count postsecondary institutions per state FIPS from GeoJSON file""})",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-4-d-4/task_5.json,2,wrong_scope_or_filter,submitted Santa Monica,finalization,The run submitted [Santa Monica] as the final answer and justified it using the Chicago/Santa Monica averages.,"Turn 29 | submit_answer({""answer"": ""[Santa Monica]"", ""reasoning"": ""... Route 66 termini: Chicago and Santa Monica. ... Lower average: Santa Monica.""})",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-6-d-3/task_2.json,2,wrong_scope_or_filter,switched to Deb Haaland/UNM instead of Doug Burgum/NDSU path,source_selection,"The last-hop lookup used Deb Haaland and submitted [University of New Mexico], while the task source/plan path points to Doug Burgum and North Dakota State University.","Turn 17 | Model response #17 [role=assistant block=1 tool_use] search_value({""query"": ""Secretary of the Interior Deb Haaland alma mater university 'Secretary of the Interior' 'alma mater' 'Deb Haaland' Wikipedia""}); Turn 19 | Model response #19 [role=assistant block=1 tool_use] submit_answer({""answer"": ""[University of New Mexico]"", ""reasoning"": ""Intersection included United States Park Police (a national law-enforcement body under the National Park Service/Department of the Interior). The Secretary of the Interior is Deb Haaland, who graduated from the University of New Mexico.""})",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
