task_id,log_error_bucket,estimated_wasted_turns,turn_waste_local_group,turn_waste_summary,turn_repeated_behavior,turn_progress_stop_point,wasted_turn_ranges,productive_turn_ranges,turn_budget_failure_reason,turn_waste_evidence,turn_waste_local_group_reason
tasks_mini/k-6-d-4/task_1.json,error_tokens_reached,0,Budget-edge finishers,"Downloaded 2019-2022 Texas prison-release files, computed county consistency metrics, and kept comparing the leading counties.",Repeated county-count and dataset-name checks on the same Texas release files.,It had already narrowed to the most consistent counties and was still comparing Texas release data when tokens ran out.,,10-14,The run was still making progress and simply exhausted the model token budget.,Turn 11 runs the county-CV computation; turn 14 searches the Texas release prefix; turn 15 is the max-tokens crash.,The run stayed on the main Texas-release comparison path with no clear wasted tail.
tasks_mini/k-6-d-4/task_9.json,error_tokens_reached,0,Budget-edge finishers,Compared school-progress-report files from 2006-2010 on environment scores for elementary schools.,Issued the same environment-score query year by year across successive school-progress-report files.,It had reached the 2009-2010 query and then the run crashed on tokens.,,7-22,It was still on the main yearly comparison path; there was no clear wasted tail before the token crash.,Turns 19-22 query the 2006-2007 through 2009-2010 environment-score files; then the log ends in a max-tokens crash.,The year-by-year school report comparison was still on the main path when tokens ran out.
tasks_mini/k-7-d-3/task_5.json,error_tokens_reached,0,Budget-edge finishers,"Worked through jail census, RGRTA ridership, Texas expenditure, and TDCJ release subproblems on the way to the final county-seat clue.","Repeated the same year-window and county-filter chain across jail, transit, Texas expenditures, and TDCJ files.",It had the Texas expenditure and TDCJ release files loaded and was still computing county filters when tokens ran out.,,4-20,The log shows steady chain execution rather than a dead-end loop; it simply exhausted the token budget.,"Turns 4-20 keep advancing the planned jail, transit, expenditure, and TDCJ steps; no clear redundant tail appears before the crash.",The chain kept advancing and tokens ran out without a visible wasted tail.
tasks_mini/k-7-d-4/task_4.json,error_tokens_reached,14,Off-path detours and rediscovery resets,"It chased the Duolingo and Pittsburgh path, then reopened school-dataset discovery instead of finishing the county math.",It kept resetting to unrelated entity searches and then re-entering school dataset discovery.,"After the plan reset, it was still hunting for source datasets when the tool budget ran out.",26-39,1-25,A long detour into unrelated Pittsburgh and Duolingo pages and a late rediscovery loop consumed the remaining budget.,Turn 26 search_prefix on Pittsburgh starts an off-path detour; Turns 29-31 repeat the same pattern with Duolingo; Turn 39 list_files is cancelled at the tool limit,A long Pittsburgh and Duolingo detour plus late rediscovery consumed the remaining budget.
tasks_mini/k-7-d-4/task_5.json,error_tokens_reached,11,Off-path detours and rediscovery resets,"It tried to answer via Ali Partovi and Code.org, then wandered into Pittsburgh and Duolingo before returning to school datasets.",Wrong-entity searches and repeated source rediscovery replaced direct county aggregation.,"By the time it returned to school-location data, the tool budget was already nearly gone.",26-36,1-25,The run spent its tail on unrelated entity pages and repeated dataset setup instead of finishing the county counts.,Turns 26-31 search Pittsburgh and Duolingo prefixes; Turns 33-36 restart school-dataset inspection instead of synthesizing counts,Wrong-entity pages and a late return to school-source setup replaced the direct county-count path.
tasks_mini/k-7-d-4/task_9.json,error_tokens_reached,7,Off-path detours and rediscovery resets,It moved from jail census and transit ridership into parking-violation datasets and tried to resolve the final clue by source lookup.,"After a workable path, it kept re-searching school-location sources instead of closing the answer.",The last school-location search was still in flight when the tool budget ran out.,33-39,1-32,The tail spent several turns on fresh discovery after the main clue path was already established.,Turn 33 searches school-district-office-locations-2016-17; Turn 38 searches public-school-locations-2017-18; Turn 39 list_files is cancelled at the tool limit,"After the main clue path was workable, several fresh discovery turns displaced final synthesis."
tasks_mini/k-4-d-4/task_1.json,error_tokens_reached,5,Off-path detours and rediscovery resets,"Extracted the four yearly school-progress-report tables, then drifted into unrelated location and schema searches instead of finishing the Bedford-school lookup.",Kept switching from progress reports to school-location and school-day search variants after the core tables were already loaded.,Turn 14 hit max tokens after the school-day/schema detour; no answer was submitted.,10-14,4-9,"The main dataset work was done, but the agent spent the tail on unrelated discovery and ran out before the final join/submission step.",Turns 7-9 successfully inspect the 2006-2007 through 2009-2010 progress reports; Turns 11-13 pivot into school-location and School Day searches; Turn 14 crashes after the stray schema lookup,"After loading the key progress-report tables, it drifted into unrelated location and schema searches."
tasks_mini/k-7-d-4/task_2.json,error_tools_limit,3,Off-path detours and rediscovery resets,"It worked through current school-location datasets and district-office sources, then kept probing current public-school sources.","After identifying the office dataset, it kept re-running discover-data and current-school searches instead of consolidating.","It had the relevant school-location datasets, but the last search and skill retry hit the timeout.",21-23,1-20,The agent burned the end of the budget on broad re-discovery rather than the final count synthesis.,Turn 21 searches public-school-locations-current; Turn 22 reruns discover-data and then the timeout is triggered,"After finding the right dataset family, it reset into broad discover-data and current-school searches."
tasks_mini/k-7-d-4/task_7.json,error_tokens_reached,3,Off-path detours and rediscovery resets,"It found the current school-location datasets, then looped back through discovery mode and current-public-school search.",It re-ran the discovery guidance instead of extracting the final county counts.,"After the school-district-office dataset was loaded, the run kept re-searching public-school sources until timeout.",21-23,1-20,The tail was spent on another discovery pass rather than the final aggregation.,Turn 21 search_prefix on public-school-locations-current; Turn 22 discover-data is cancelled by timeout; Turn 23 crashes with max tokens,It re-entered discovery mode after loading the needed dataset instead of extracting the final count.
tasks_mini/k-7-d-4/task_8.json,error_tokens_reached,3,Off-path detours and rediscovery resets,"It worked through the school-location family, but kept re-entering discovery mode instead of consolidating the answer.","The endgame repeated search, peek, and planning cycles on the same school-location sources.",The run was still in source-finding mode when the tool cap hit.,38-40,1-37,A last search loop pushed it over the tool limit before the final answer was assembled.,Turn 38 searches public-school-locations-2017-18; Turn 39 list_files is cancelled at the tool limit,"The endgame looped through search, peek, and planning on the same source family instead of consolidating."
tasks_mini/k-2-d-3/task_8.json,error_tokens_reached,1,Off-path detours and rediscovery resets,"Found the Chicago library circulation, visitor, and computer-session datasets for 2019-2021 and queried the top branches, but stopped after one more discovery pass instead of intersecting the lists.",Kept broadening library dataset discovery after the relevant branch-ranking tables were already in hand.,Turn 10 had the circulation and visitors queries; turn 11 re-entered discovery instead of intersecting them.,11,1-10,"It returned to discovery even though the needed branch lists were already identified, so the remaining budget went to a redundant search step.",Turn 10 queries 2020 circulation top 5; Turn 11 re-enters discover-data after the datasets are already found,"It already had the needed library rankings, then reset into broad discovery instead of intersecting them."
tasks_mini/k-2-d-3/task_3.json,error_tokens_reached,3,Problematic-data recovery loops,"Explored Texas county expenditures and unemployment benefits across multiple years, then spent the tail trying to clean malformed county values and re-check dataset metadata.",Kept revisiting county-year aggregation and schema/metadata checks after the main counting path was already clear.,Turn 31 had the needed unemployment dataset work; turns 32-33 were another peek plus the crash.,26-27; 32,1-25; 28-31,"After the useful aggregation work, it burned turns on placeholder metadata files and then hit the tool limit before submitting.",Turn 25 raises a CSV parse error on the 2018 release; Turn 26-27 peek 81-byte metadata pages; Turn 32 is a cancelled peek_file at the tool limit,A CSV and metadata failure pulled the run into retrying placeholder metadata and peek steps after the useful aggregation.
tasks_mini/k-2-d-4/task_2.json,error_tokens_reached,3,Problematic-data recovery loops,"Chased Texas city diabetes thresholds across 2016-2019 releases, then got stuck on a malformed 2018 CSV and repeated searches for the same dataset family.",Kept retrying adjacent diabetes releases and schema checks after the 2018 query failed.,Turn 24 had the cross-year diabetes plan in place; turns 25-27 were recovery attempts after the malformed 2018 CSV.,25-27,1-24,It spent the tail trying to repair around a bad CSV instead of switching approach or stopping with the best available result.,Turn 25 query_file hits a CSV error on the 2018 release; Turn 27 times out while searching the same Texas diabetes dataset,The malformed 2018 diabetes CSV pulled the run into repair retries on the same dataset family.
tasks_mini/k-7-d-3/task_9.json,error_tokens_reached,3,Problematic-data recovery loops,"It traced the jail census and RGRTA ridership datasets, then used parking-violation data to resolve the final clue.","One bad date query, one oversized table peek, then the final parking aggregate timed out.","After the year counts were known, it was still aggregating parking violations when the timeout hit.",9; 14; 18,7-8; 11-13; 15-17,A type-mismatch query error and a wasted full-table peek burned turns before the final parking aggregate timed out.,Turn 9 uses substr on a DATE and errors; Turn 14 does SELECT * FROM t on a huge GeoJSON file; Turn 18's parking GROUP BY is cancelled at timeout,The kept version includes a bad date query and an oversized-table peek before the final parking aggregation timed out.
tasks_mini/k-2-d-3/task_9.json,error_tools_limit,2,Problematic-data recovery loops,"Built a ward and county candidate set from APD search, dispatch, and permit/crime datasets, then tried one last KML/XML parsing pass before the tool limit hit.","Repeatedly inspected the same permit and crime sources, then retried the same parsing path after a stagnation warning.",Turn 25 had the downloaded files and execute plan; turn 26 was the final parse attempt before the limit hit.,15; 26,1-14; 16-25,The run kept pushing the same parsing path after a stagnation nudge and then spent the final call on an execute_code attempt that was cancelled by the tool cap.,Turn 15 repeats peek_file after the stagnation nudge; Turn 26 execute_code is cancelled at the 30/30 tool limit,"After the parsing path stalled, it repeated the same parse and peek recovery pattern and lost the final execute_code call."
tasks_mini/k-5-d-4/task_10.json,error_tokens_reached,1,Problematic-data recovery loops,"Searched Texas county capital-outlay data, then got stuck probing an oversized parking-violations file after a query failure.",Kept inspecting the same large file after query_file rejected it.,Turn 9 hit the 100 MB JSON limit; turn 11 was still reading the same data.txt.,11,1-10,The tail went into ad hoc inspection of the oversized file instead of pivoting to a scalable extraction path.,Turn 9 query_file fails on the 115 MB JSON file; Turn 11 reads files/data.txt from the top,The oversized parking-violations file caused a failed query and then another low-yield file inspection.
tasks_mini/k-5-d-4/task_4.json,error_tokens_reached,1,Problematic-data recovery loops,"Looked for DC ward permit and crime data, then ran into a huge JSON file while inspecting the 2019 parking-violations dataset.",Kept trying alternate views of the same oversized dataset after the query error.,Turn 9 failed on the 115 MB JSON file; turn 11 was still reading the same file.,11,1-10,The run lost its tail to repeated inspection of the oversized file instead of switching to a scalable read path.,Turn 9 query_file exceeds the 100 MB limit; Turn 11 reads files/data.txt from line 0,The oversized JSON error led to another pass over the same parking-violations data.
tasks_mini/k-5-d-4/task_9.json,error_tokens_reached,1,Problematic-data recovery loops,Explored Texas 500 Cities diabetes data and then searched for population and border datasets.,Repeated Texas diabetes queries across years after the 2018 parsing issue and never closed the intersection.,Turn 29 hit the timeout warning while still querying the 2018 release.,29,1-28,The run ran out of budget during repeated diabetes-set extraction instead of moving on to the next filter.,Turn 29 repeats the 2018 diabetes query with all_varchar and TRY_CAST; Timeout warning says to submit_answer NOW,A parsing issue in the 2018 diabetes release pulled the run into repeated recovery queries on the same source.
tasks_mini/k-6-d-3/task_3.json,error_tokens_reached,1,Problematic-data recovery loops,"Searched Texas City Health diabetes data, then fought CSV typing issues in the 2018 release.",Kept re-querying the same 500 Cities releases after hitting the 2018 parse problem.,Turn 28 hit a timeout warning while still querying the 2018 release.,28,1-27,The run spent its tail on the malformed 2018 CSV instead of finishing the intersection.,Turn 28 uses read_csv_auto with all_varchar on the 2018 release; Timeout warning says submit_answer NOW,CSV typing trouble in the 2018 diabetes file caused repeated retries on the same release family.
tasks_mini/k-4-d-4/task_2.json,error_tokens_reached,6,Same-source rediscovery and file/schema poking,"Tried to identify recurring WA contractor firms, then verify engineering firms against NY construction-manager projects and biography pages.","Kept re-trying search_value, search_schema, and search_prefix on the same contractor-rank and firm-name ideas.","Had the contractor lists, HDR/WSP/Jacobs leads, and active-construction-projects checks, then kept searching for a cleaner dataset name until the tool cap.",24-29,1-23,The run stayed on the same discovery path instead of closing the join and moving to the final extraction before the budget ran out.,Turn 19 queries top-20 contractors across FY2017-2020; Turn 23 checks active-construction-projects for Jacobs/WSP/HDR; Turns 24-29 keep firing new search_schema and search_prefix guesses,It had contractor and firm leads but kept probing dataset names and search variants for a cleaner source.
tasks_mini/k-3-d-3/task_2.json,error_tokens_reached,5,Same-source rediscovery and file/schema poking,"Tried to identify the school/location record for a specific NYC school, then bounced through school-location and school-directory families to find the right postcode/DBN source.",Repeated search_value/search_prefix variants for the same school and directory terms after weak or empty hits.,Turn 32 hit the tool limit on a peek_file after the directory pivot; the run then crashed on max tokens without an answer.,28-32,23-27,It kept rephrasing the same school lookup instead of locking onto one dataset family and extracting the needed fields.,"Turn 27 searches ""It Takes a Village Academy"" postcode and gets off-target results; Turn 28 searches 18K563 and gets no match; Turn 29-32 keep drilling into high-school directory files before the tool limit",It kept rotating among the same school-location and directory families instead of extracting fields from one.
tasks_mini/k-4-d-3/task_3.json,error_tokens_reached,4,Same-source rediscovery and file/schema poking,"Compared foster-care, staffing, public-assistance, and mental-health county counts, then kept chasing another county-side dataset until the tool cap stopped the run.",Swapped among closely related county social-services datasets instead of converging on one answer path.,Turn 43 hit the tool limit on a public-assistance query; the run then crashed on max tokens.,40-43,10-39,The late run kept re-entering the same county-comparison space with adjacent datasets and lost the remaining budget before it could submit.,Turns 41-43 retry the public-assistance cases query for the same counties; Turns 35 and 39 show the county comparisons were already in progress; Turn 43 is the blocked query that triggers the final stop,The late turns kept swapping among adjacent county-services datasets instead of committing to one answer path.
tasks_mini/k-6-d-4/task_5.json,error_tokens_reached,4,Same-source rediscovery and file/schema poking,"Searched CACFP adult day care datasets for 2016-2019, identified the right rows files, and was opening the last year file.",Repeated CACFP year/name searches before settling on the year-specific rows files.,"It had the 2016, 2017, and 2019 rows files and was trying to open 2018 when the tool cap hit.",18-20; 23,13-17; 21-22,It burned turns on weak CACFP search variants and lost the final peek to the tool cap.,Turns 18-20 repeat CACFP name variants with no better hit; turn 23 peeks 2018 and gets canceled.,It repeated CACFP year and name searches before settling on the rows files.
tasks_mini/k-7-d-4/task_1.json,error_tools_limit,4,Same-source rediscovery and file/schema poking,"It identified Khan Lab School and then worked through California public, private, district, and postsecondary location sources.","Repeated grep_file calls on the same public-school XML, then a last postsecondary query hit the cap.","Once the California dataset set was identified, it kept rechecking the same file structure instead of finishing the aggregation.",23-26,1-22,The tail spent turns on repeated file-pattern checks and then exhausted the tool budget before the final count.,Turns 23-25 repeat grep_file on the same public-school file; Turn 26 query_file on postsecondary-school-locations-2022-23 is cancelled at the tool limit,"Once the California file set was identified, the tail kept rechecking the same XML and file structure."
tasks_mini/k-3-d-3/task_3.json,error_tokens_reached,1,Same-source rediscovery and file/schema poking,"Built the school-progress-report plan, queried the four yearly elementary score files, then kept searching for the Bedford-linked school and its School Day source.",Kept switching among school-location and school-progress-report dataset families instead of finishing the join for the Bedford NTA school.,Turn 32 hit the tool limit while retrying a progress-report prefix search; the run then crashed on max tokens.,32,4-31,The run stayed exploratory too long at the end and ran out of budget before it could resolve the school-day lookup.,Turns 8-10 query the yearly elementary progress reports successfully; Turns 28-31 inspect school-location datasets that do not resolve the Bedford join; Turn 32 retries a 2010-2011 progress-report prefix and immediately hits the limit,It had the yearly progress files but kept toggling among nearby school-location and progress-report sources.
