benchmark,model_variant,mode_label,mode,trajectory_alignment,n,fraction_all,pct_all,fraction_comparable,pct_comparable
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,40,40/135,29.6,40/134,29.9
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,42,42/135,31.1,42/134,31.3
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,not_comparable,1,1/135,0.7,,
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,26,26/135,19.3,26/134,19.4
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,did_not_follow,3,3/135,2.2,3/135,2.2
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,followed,35,35/135,25.9,35/135,25.9
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,29,29/135,21.5,29/135,21.5
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,43,43/135,31.9,43/135,31.9
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,25,25/135,18.5,25/135,18.5
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,6,6/135,4.4,6/135,4.4
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,followed,28,28/135,20.7,28/135,20.7
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,34,34/135,25.2,34/135,25.2
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,41,41/135,30.4,41/135,30.4
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,26,26/135,19.3,26/135,19.3
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,18,18/135,13.3,18/135,13.3
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,followed,9,9/135,6.7,9/135,6.7
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,62,62/135,45.9,62/135,45.9
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,25,25/135,18.5,25/135,18.5
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,21,21/135,15.6,21/135,15.6
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,did_not_follow,13,13/135,9.6,13/135,9.6
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,followed,13,13/135,9.6,13/135,9.6
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,63,63/135,46.7,63/135,46.7
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,25,25/135,18.5,25/135,18.5
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,21,21/135,15.6,21/135,15.6
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,28,28/135,20.7,28/135,20.7
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,followed,8,8/135,5.9,8/135,5.9
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,66,66/135,48.9,66/135,48.9
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,18,18/135,13.3,18/135,13.3
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,15,15/135,11.1,15/135,11.1
